,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
2235,IMKTA,2018-11-16,31.280001,31.280001,30.51,29.517527,34400,0.770000999999997,1.7624739999999974,38828.57142857143,60985.71428571428,62914.28571428572,12466.379275671743,False
58,SPTN,2010-03-29,14.57,14.83,14.34,10.522752,67000,0.4900000000000002,4.047248,112771.42857142857,96357.14285714286,122752.38095238095,39931.71722849302,True
2002,BIG,2017-12-14,55.450001,55.779999,52.959999,46.265205,1328400,2.819999999999993,9.184795999999999,1051757.142857143,977585.7142857143,1039304.7619047619,357398.86824164423,True
1370,BIG,2015-06-15,46.48,47.040001,46.029999,38.580425,571800,1.010002,7.899574999999999,599314.2857142857,1078321.4285714286,1057971.4285714286,109668.9359399647,False
1693,COST,2016-09-23,153.149994,153.770004,152.169998,135.542068,2282100,1.6000060000000076,17.607925999999992,3479442.8571428573,2869350.0,2561838.095238095,1751124.5969026736,False
2006,WMT,2017-12-20,99.449997,99.650002,98.449997,91.537659,10729800,1.2000050000000044,7.912337999999991,7131785.714285715,7655571.428571428,7834014.285714285,2225474.953114228,False
1014,WMK,2014-01-14,51.799999,52.299999,51.700001,42.174889,28800,0.5999979999999994,9.62511,26185.714285714286,27671.428571428572,29180.95238095238,9300.910642271014,True
837,TGT,2013-05-02,69.540001,69.75,68.75,53.681072,9431500,1.0,15.858929000000003,4546471.428571428,4282607.142857143,5310352.380952381,2077807.1220222851,True
1135,KR,2014-07-09,24.629999,24.715,24.469999,21.489965,6516200,0.24500099999999847,3.140034,5390142.857142857,5091842.857142857,5038228.571428572,718047.3658414442,False
751,KR,2012-12-27,13.05,13.1,12.875,11.034123,5531400,0.22499999999999964,2.0158770000000015,6603428.571428572,6737614.285714285,7024600.0,949827.2169404372,False
915,WMK,2013-08-22,47.27,47.880001,46.830002,38.50626,14800,1.0499989999999997,8.763740000000006,20300.0,19421.428571428572,21319.04761904762,8366.941752260158,True
1696,KR,2016-09-28,29.969999,30.120001,29.68,26.727816,10820100,0.44000099999999875,3.2421830000000007,16240900.0,15801928.57142857,13017242.857142856,7243626.125084038,False
1626,SPTN,2016-06-20,29.26,29.82,29.26,23.975632,178600,0.5599999999999987,5.284368000000001,194900.0,215214.2857142857,182071.42857142858,72542.46047266781,True
789,BIG,2013-02-22,33.82,34.029999,33.240002,27.090881,1004100,0.7899969999999996,6.729119000000001,1132585.7142857143,1368914.2857142857,1122976.1904761905,411504.99885375955,False
703,COST,2012-10-16,96.970001,97.519997,96.510002,74.592789,3788300,1.0099950000000035,22.377212,3621271.4285714286,3156671.4285714286,2964595.238095238,512337.16218433937,False
